X,Y,T,A
486469.45690157585,4418911.559468846,56.0,56.0
487113.56004840834,4418378.4173664,61.0,61.0
486565.44272732263,4418995.047702096,46.0,46.0
486592.8872946975,4419046.3408096805,46.0,46.0
486469.45690157585,4418911.559468846,56.0,56.0
486469.45690157585,4418911.559468846,56.0,56.0
486070.839325191,4419228.5782421,56.0,56.0
486472.2278254881,4418927.172343931,46.0,46.0
486500.8391288546,4419223.45272535,46.0,46.0
486512.4332120581,4418639.992845791,61.0,61.0
486799.83789545146,4419365.5594600625,56.0,56.0
486472.2278254881,4418927.172343931,62.0,62.0
486372.3298232146,4419367.048685012,65.0,65.0
486315.3723507556,4419018.743010761,65.0,65.0
486637.4856369934,4419332.274547843,66.0,66.0
486481.4616018623,4419211.120123855,62.0,62.0
486656.18250136444,4418896.269707485,66.0,66.0
486656.18250136444,4418896.269707485,66.0,66.0
486907.3130803795,4419286.03044173,66.0,66.0
486372.3298232146,4419367.048685012,66.0,66.0
486055.362443041,4419226.032357057,69.0,69.0
486702.6228475749,4418797.9546056185,69.0,69.0
486786.4187275196,4419367.9680978805,58.0,58.0
486786.4187275196,4419367.9680978805,58.0,58.0
486472.37494681566,4419168.960931711,71.0,71.0
486209.26411597274,4419358.564980707,71.0,71.0
486473.1429517052,4419173.30275179,71.0,71.0
486617.34824425424,4419027.428424653,71.0,71.0
486705.22484431235,4419093.089060139,71.0,71.0
487011.5476104065,4419408.059536572,68.0,68.0
486388.8695868243,4419279.10016676,68.0,68.0
486372.3298232146,4419367.048685012,73.0,73.0
486333.5148685368,4418624.679367628,73.0,73.0
486623.72916706506,4418832.630849659,75.0,75.0
487002.43987755914,4418543.489166529,75.0,75.0
486719.15692992654,4418973.857904441,74.0,74.0
486786.4187275196,4419367.9680978805,76.0,76.0
486786.4187275196,4419367.9680978805,76.0,76.0
486465.46782938053,4419210.493212731,76.0,76.0
486719.15692992654,4418973.857904441,88.0,88.0
486472.37494681566,4419168.960931711,88.0,88.0
486350.35456267535,4419002.477807653,89.0,89.0
486070.1033690064,4419223.658360438,76.0,76.0
486278.74689073634,4418340.530651727,77.0,77.0
486054.0317988877,4418575.512392739,83.0,83.0
486470.1695876805,4419154.77207755,83.0,83.0
486357.1157145042,4419289.310566794,89.0,89.0
486070.1033690064,4419223.658360438,77.0,77.0
486814.362579544,4418689.332019828,77.0,77.0
486442.5481776373,4418885.138759658,78.0,78.0
486235.1151293722,4419359.738515028,78.0,78.0
486061.14534597134,4418880.287952601,78.0,78.0
486209.8199070494,4419233.499713019,78.0,78.0
486238.97273631376,4419390.190850091,78.0,78.0
486372.3298232146,4419367.048685012,79.0,79.0
486472.37494681566,4419168.960931711,84.0,84.0
486350.35456267535,4419002.477807653,84.0,84.0
486212.16900870483,4419375.511782606,87.0,87.0
486484.8163030451,4419260.3418580815,90.0,90.0
486719.15692992654,4418973.857904441,90.0,90.0
486372.3298232146,4419367.048685012,80.0,80.0
486484.8163030451,4419260.3418580815,92.0,92.0
486340.1637006453,4419187.662290451,92.0,92.0
486458.6164523354,4419171.263427437,92.0,92.0
486900.86112637294,4418854.651619111,93.0,93.0
486906.4511490143,4418858.284079136,94.0,94.0
486066.2192151862,4419188.284051354,94.0,94.0
486656.18250136444,4418896.269707485,94.0,94.0
487167.80993647705,4418258.712318784,80.0,80.0
486569.0438201371,4418926.007051314,80.0,80.0
486493.28635298385,4419267.969597209,98.0,98.0
486372.3298232146,4419367.048685012,99.0,99.0
486705.8588487037,4419223.422212823,99.0,99.0
486705.8588487037,4419223.422212823,99.0,99.0
486372.3298232146,4419367.048685012,99.0,99.0
486330.8068451938,4418937.146960895,100.0,100.0
486372.3298232146,4419367.048685012,100.0,100.0
486340.1637006453,4419187.662290451,100.0,100.0
486340.93921008817,4419192.471743239,100.0,100.0
486352.12076592114,4418943.599913294,100.0,100.0
486489.3475052454,4419245.177947782,101.0,101.0
486070.1033690064,4419223.658360438,95.0,95.0
486507.77863038256,4418874.778188691,81.0,81.0
486451.5329323405,4418883.711708928,81.0,81.0
486470.1695876805,4419154.77207755,95.0,95.0
486343.9316469266,4419211.029844895,104.0,104.0
486568.98951682396,4418913.496387448,105.0,105.0
486434.34150280076,4419215.666793335,102.0,102.0
486098.93456265813,4418565.887644721,105.0,105.0
486350.35456267535,4419002.477807653,106.0,106.0
486079.8582155677,4419257.887651031,106.0,106.0
486079.8582155677,4419257.887651031,106.0,106.0
486181.6856891422,4418304.742142493,106.0,106.0
486435.44260150794,4418935.93828336,108.0,108.0
486346.14842868515,4419003.186566702,108.0,108.0
486070.1033690064,4419223.658360438,96.0,96.0
